DiskSize,DiskType,Inputs,MachineType,NodeCount,PriceHourlyPerNode,ResponseTimes,Zone,PriceHourly,CPUPerNode,CPUs,NumberAndMachine
30,pd-standard,7151,n1-highcpu-8,2,0.312,0.306047,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,7241,n1-highcpu-8,2,0.312,0.320063,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,19406,n1-highcpu-8,2,0.312,2.123836,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,7354,n1-highcpu-8,2,0.312,0.326122,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,7357,n1-highcpu-8,2,0.312,0.313702,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,8064,n1-highcpu-8,2,0.312,0.384006,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,12246,n1-highcpu-8,2,0.312,0.861678,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,11036,n1-highcpu-8,2,0.312,0.695525,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,4415,n1-highcpu-8,2,0.312,0.131729,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,8988,n1-highcpu-8,2,0.312,0.474519,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,8700,n1-highcpu-8,2,0.312,0.440905,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,8521,n1-highcpu-8,2,0.312,0.413676,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10812,n1-highcpu-8,2,0.312,0.67115,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,9111,n1-highcpu-8,2,0.312,0.474189,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,15440,n1-highcpu-8,2,0.312,1.359643,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,6389,n1-highcpu-8,2,0.312,0.246016,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,9552,n1-highcpu-8,2,0.312,0.533539,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10752,n1-highcpu-8,2,0.312,0.654636,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,9551,n1-highcpu-8,2,0.312,0.525222,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,6884,n1-highcpu-8,2,0.312,0.293643,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,11083,n1-highcpu-8,2,0.312,0.714418,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,8568,n1-highcpu-8,2,0.312,0.429118,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,12165,n1-highcpu-8,2,0.312,0.836679,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,7063,n1-highcpu-8,2,0.312,0.338743,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,8159,n1-highcpu-8,2,0.312,0.399723,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,13431,n1-highcpu-8,2,0.312,1.047292,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,15616,n1-highcpu-8,2,0.312,1.376909,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,19643,n1-highcpu-8,2,0.312,2.195225,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,13067,n1-highcpu-8,2,0.312,0.970627,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,15609,n1-highcpu-8,2,0.312,1.367144,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,7377,n1-highcpu-8,2,0.312,0.320732,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,14548,n1-highcpu-8,2,0.312,1.212996,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,8365,n1-highcpu-8,2,0.312,0.414754,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,15757,n1-highcpu-8,2,0.312,1.417021,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,7614,n1-highcpu-8,2,0.312,0.343302,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,7977,n1-highcpu-8,2,0.312,0.378508,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,8530,n1-highcpu-8,2,0.312,0.425578,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10619,n1-highcpu-8,2,0.312,0.65787,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,8744,n1-highcpu-8,2,0.312,0.457544,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,13932,n1-highcpu-8,2,0.312,1.097511,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,14376,n1-highcpu-8,2,0.312,1.205736,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,9360,n1-highcpu-8,2,0.312,0.499301,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,9929,n1-highcpu-8,2,0.312,0.584272,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
